"result_name","result_value","result_interpretation","interpretation","sens_interpretation","yearrec","siteID","accessionID"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2017,"Site 01","0284"
"Ceftiofur","<= 0.2500","Susceptible","Susceptible","Susceptible",2017,"Site 01","0284"
"Chlortetracycline","> 8.0000","Susceptible","Resistant","Resistant",2017,"Site 01","0284"
"Clindamycin","<= 0.2500","Susceptible","Susceptible","Susceptible",2017,"Site 01","0284"
"Enrofloxacin","0.25","Susceptible","Susceptible","Susceptible",2017,"Site 01","0284"
"Florfenicol","1","Susceptible","Susceptible","Susceptible",2017,"Site 01","0284"
"Gentamicin","2","Susceptible","Susceptible","Susceptible",2017,"Site 01","0284"
"Neomycin","<= 4.0000","Susceptible","Susceptible","Susceptible",2017,"Site 01","0284"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2017,"Site 01","0284"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2017,"Site 01","0284"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2017,"Site 01","0284"
"Spectinomycin","16","Susceptible","Susceptible","Susceptible",2017,"Site 01","0284"
"Tiamulin","2","Intermediate","Susceptible","Susceptible",2017,"Site 01","0284"
"Tilmicosin","<= 4.0000","Intermediate","Susceptible","Susceptible",2017,"Site 01","0284"
"Trimethoprim Sulphamethoxazole","<= 2.0000","Susceptible","Susceptible","Susceptible",2017,"Site 01","0284"
"Ampicillin","<= 0.2500","Susceptible","Susceptible","Susceptible",2015,"Site 02","6343"
"Ceftiofur","0.5","Susceptible","Susceptible","Susceptible",2015,"Site 02","6343"
"Chlortetracycline","> 8.0000","Intermediate","Resistant","Resistant",2015,"Site 02","6343"
"Clindamycin","> 16.0000","Susceptible","Resistant","Resistant",2015,"Site 02","6343"
"Enrofloxacin","0.25","Susceptible","Susceptible","Susceptible",2015,"Site 02","6343"
"Florfenicol","2","Susceptible","Susceptible","Susceptible",2015,"Site 02","6343"
"Gentamicin","4","Susceptible","Susceptible","Susceptible",2015,"Site 02","6343"
"Neomycin","16","Susceptible","Resistant","Resistant",2015,"Site 02","6343"
"Oxytetracycline","> 8.0000","Susceptible","Resistant","Resistant",2015,"Site 02","6343"
"Penicillin","<= 0.1200","Susceptible","Susceptible","Susceptible",2015,"Site 02","6343"
"Sulphadimethoxine","> 256.0000","Susceptible","Resistant","Resistant",2015,"Site 02","6343"
"Spectinomycin","16","Susceptible","Susceptible","Susceptible",2015,"Site 02","6343"
"Tiamulin","2","Susceptible","Susceptible","Susceptible",2015,"Site 02","6343"
"Tilmicosin","> 64.0000","Susceptible","Resistant","Resistant",2015,"Site 02","6343"
